iter	RMSE
0	52370.34686
1	52114.83554
2	51877.26032
3	51655.90721
4	51443.05031
5	51211.62594
6	51016.77376
7	50820.05982
8	50634.99802
9	50495.64609
10	50351.21947
11	50181.11828
12	50037.38841
13	49911.68587
14	49758.50245
15	49613.92329
16	49468.45863
17	49349.42977
18	49241.11309
19	49144.08868
20	49025.85367
21	48919.00587
22	48836.7201
23	48727.54013
24	48616.92798
25	48527.96735
26	48436.60212
27	48357.19069
28	48275.24969
29	48206.28275
30	48129.4759
31	48078.6722
32	48001.22951
33	47911.73765
34	47832.28737
35	47756.81652
36	47688.07094
37	47636.3726
38	47575.99086
39	47505.13529
40	47455.73227
41	47376.1578
42	47305.7593
43	47248.08324
44	47190.08671
45	47129.27697
46	47061.23071
47	46997.61153
48	46929.36947
49	46874.65616
50	46829.12363
51	46760.87953
52	46699.22638
53	46655.4592
54	46617.96664
55	46558.20234
56	46497.82119
57	46449.41247
58	46394.99256
59	46344.06567
60	46304.24515
61	46263.68274
62	46217.84292
63	46174.17545
64	46119.30195
65	46083.60577
66	46051.3925
67	46018.94265
68	45962.3344
69	45929.70411
70	45893.3546
71	45854.44211
72	45815.29312
73	45761.14445
74	45715.27021
75	45663.98191
76	45623.215
77	45581.42092
78	45546.41779
79	45494.77137
80	45453.96135
81	45411.46615
82	45358.35252
83	45312.77411
84	45275.00625
85	45241.77773
86	45211.36682
87	45176.76403
88	45136.10686
89	45107.43197
90	45063.89726
91	45030.81635
92	44991.426
93	44953.56056
94	44913.36522
95	44886.60079
96	44846.88988
97	44802.37693
98	44773.66217
99	44734.67246
100	44699.6995
101	44659.46817
102	44626.90338
103	44593.36304
104	44562.96769
105	44529.83899
106	44497.29139
107	44458.87671
108	44420.35709
109	44383.90283
110	44349.75979
111	44318.63266
112	44294.79538
113	44273.90786
114	44248.46282
115	44207.80149
116	44180.21283
117	44149.48699
118	44112.8356
119	44070.14798
120	44037.43513
121	44004.41377
122	43959.38118
123	43904.43359
124	43870.22164
125	43837.26125
126	43808.62068
127	43767.15598
128	43739.46418
129	43703.09483
130	43663.36455
131	43636.303
132	43595.59435
133	43562.49286
134	43528.45736
135	43500.24748
136	43461.78589
137	43426.36939
138	43385.98373
139	43356.62414
140	43316.91467
141	43279.58112
142	43241.12244
143	43206.57992
144	43176.27303
145	43153.41395
146	43109.33581
147	43081.5775
148	43048.22245
149	43011.30826
150	42980.20444
151	42947.08198
152	42913.949
153	42878.14093
154	42845.59942
155	42808.41523
156	42782.62999
157	42759.22726
158	42729.41536
159	42696.22411
160	42664.68812
161	42625.83649
162	42587.57656
163	42553.67729
164	42526.34349
165	42499.75887
166	42455.44756
167	42427.59376
168	42398.41478
169	42370.81364
170	42351.112
171	42325.16103
172	42290.10006
173	42250.35975
174	42232.55408
175	42205.22479
176	42182.62632
177	42144.8327
178	42124.71975
179	42092.60102
180	42050.97727
181	42030.51749
182	42003.86695
183	41980.21134
184	41947.78765
185	41923.52697
186	41890.7511
187	41861.58506
188	41825.32745
189	41805.98338
190	41779.28744
191	41736.02669
192	41707.36014
193	41678.62975
194	41657.23153
195	41631.05311
196	41597.4448
197	41562.99874
198	41528.39327
199	41504.38655
200	41463.12696
201	41428.81294
202	41395.57377
203	41367.2069
204	41347.04385
205	41329.67009
206	41297.73225
207	41264.69882
208	41228.63175
209	41198.98142
210	41179.88335
211	41150.60596
212	41123.02765
213	41095.79685
214	41065.07798
215	41037.20567
216	41010.45803
217	40987.18931
218	40961.19594
219	40923.06617
220	40886.35568
221	40853.35648
222	40836.97237
223	40807.73184
224	40780.42384
225	40740.27866
226	40724.3406
227	40701.7874
228	40675.69262
229	40644.63191
230	40621.27977
231	40591.79811
232	40557.54337
233	40528.14403
234	40499.00545
235	40477.75441
236	40457.19136
237	40432.95416
238	40407.54832
239	40378.28301
240	40348.66195
241	40339.15004
242	40316.48242
243	40291.23637
244	40267.95017
245	40241.5834
246	40212.39204
247	40193.17761
248	40170.73875
249	40154.94393
250	40129.45255
251	40113.77196
252	40089.31801
253	40072.62179
254	40046.87813
255	40017.71341
256	39978.41286
257	39946.51222
258	39916.25709
259	39899.10569
260	39871.20285
261	39848.4118
262	39831.25135
263	39807.44257
264	39773.62368
265	39745.14383
266	39720.39236
267	39690.07986
268	39655.54394
269	39620.88545
270	39608.87187
271	39585.58392
272	39559.66287
273	39529.71029
274	39500.98286
275	39462.8928
276	39439.63096
277	39408.75969
278	39378.9181
279	39346.7529
280	39321.83715
281	39299.46672
282	39271.47469
283	39238.21052
284	39211.35648
285	39186.88761
286	39171.40174
287	39139.97935
288	39122.59361
289	39101.99302
290	39073.87107
291	39043.76942
292	39018.78175
293	38993.54025
294	38968.73232
295	38949.92221
296	38911.34192
297	38884.30519
298	38865.40337
299	38837.94378
300	38818.72952
301	38796.36627
302	38775.04448
303	38750.92433
304	38718.61924
305	38701.00023
306	38670.67166
307	38645.01815
308	38613.65703
309	38594.23837
310	38562.53644
311	38532.00219
312	38501.77156
313	38448.9005
314	38427.64432
315	38389.63148
316	38368.13845
317	38346.34753
318	38331.74735
319	38316.45999
320	38292.66078
321	38265.11457
322	38234.14813
323	38197.26702
324	38169.16605
325	38144.05454
326	38116.99579
327	38097.38627
328	38063.39891
329	38033.53439
330	38008.70325
331	37988.93681
332	37965.82215
333	37938.13316
334	37901.93318
335	37868.74904
336	37848.83817
337	37826.24141
338	37803.45894
339	37788.09612
340	37762.9522
341	37737.73949
342	37717.4217
343	37691.32715
344	37663.52149
345	37626.15118
346	37591.82025
347	37555.61494
348	37528.52627
349	37489.04371
350	37469.41986
351	37435.86121
