iter	Passed	Remaining
0	18	36336
1	35	35440
2	53	35381
3	69	34564
4	85	34130
5	102	33972
6	119	33924
7	135	33754
8	151	33547
9	168	33496
10	184	33445
11	201	33347
12	217	33233
13	234	33220
14	250	33155
15	269	33388
16	287	33480
17	303	33408
18	319	33332
19	335	33171
20	349	32972
21	365	32820
22	380	32712
23	396	32659
24	414	32777
25	432	32839
26	449	32851
27	466	32850
28	482	32811
29	499	32807
30	515	32719
31	530	32645
32	547	32613
33	564	32618
34	581	32654
35	599	32682
36	615	32656
37	631	32582
38	647	32563
39	663	32531
40	679	32466
41	697	32495
42	714	32514
43	731	32537
44	748	32516
45	763	32445
46	778	32356
47	795	32340
48	811	32322
49	828	32314
50	846	32350
51	863	32347
52	880	32350
53	897	32335
54	913	32301
55	929	32260
56	945	32231
57	962	32241
58	979	32236
59	997	32244
60	1013	32216
61	1029	32192
62	1046	32187
63	1063	32177
64	1081	32194
65	1099	32216
66	1114	32146
67	1129	32081
68	1144	32039
69	1161	32011
70	1177	31982
71	1194	31984
72	1209	31932
73	1225	31904
74	1243	31910
75	1259	31881
76	1276	31878
77	1291	31829
78	1306	31779
79	1323	31764
80	1342	31797
81	1359	31798
82	1375	31761
83	1391	31749
84	1408	31734
85	1425	31733
86	1443	31738
87	1460	31726
88	1477	31727
89	1493	31685
90	1509	31662
91	1525	31647
92	1541	31605
93	1558	31603
94	1575	31601
95	1592	31582
96	1608	31553
97	1626	31567
98	1643	31560
99	1660	31558
100	1678	31552
101	1693	31517
102	1710	31509
103	1728	31510
104	1745	31505
105	1762	31493
106	1779	31478
107	1796	31470
108	1812	31448
109	1828	31417
110	1846	31428
111	1864	31425
112	1880	31410
113	1897	31392
114	1913	31359
115	1929	31340
116	1945	31306
117	1961	31279
118	1976	31247
119	1992	31215
120	2007	31171
121	2022	31131
122	2038	31113
123	2055	31098
124	2070	31064
125	2085	31023
126	2100	30981
127	2116	30952
128	2131	30917
129	2148	30898
130	2164	30881
131	2180	30863
132	2197	30848
133	2212	30812
134	2228	30780
135	2243	30752
136	2259	30725
137	2275	30707
138	2292	30691
139	2308	30673
140	2324	30650
141	2340	30625
142	2357	30613
143	2374	30602
144	2390	30587
145	2407	30574
146	2425	30570
147	2441	30548
148	2457	30528
149	2472	30496
150	2488	30476
151	2505	30467
152	2522	30452
153	2539	30443
154	2556	30435
155	2572	30413
156	2588	30390
157	2607	30395
158	2623	30379
159	2641	30374
160	2658	30365
161	2674	30347
162	2691	30333
163	2707	30315
164	2723	30291
165	2740	30279
166	2756	30256
167	2772	30232
168	2788	30213
169	2805	30197
170	2822	30193
171	2839	30180
172	2856	30170
173	2873	30156
174	2890	30142
175	2905	30110
176	2920	30079
177	2936	30058
178	2952	30038
179	2968	30018
180	2986	30010
181	3002	29995
182	3018	29974
183	3034	29950
184	3050	29930
185	3065	29895
186	3080	29861
187	3095	29835
188	3111	29818
189	3127	29790
190	3143	29768
191	3159	29752
192	3175	29732
193	3191	29710
194	3207	29686
195	3223	29668
196	3240	29656
197	3257	29648
198	3274	29636
199	3290	29610
200	3306	29598
201	3325	29598
202	3343	29597
203	3360	29584
204	3377	29570
205	3394	29562
206	3411	29551
207	3429	29542
208	3446	29532
209	3462	29513
210	3478	29495
211	3495	29478
212	3511	29460
213	3527	29440
214	3543	29419
215	3559	29396
216	3575	29375
217	3591	29361
218	3608	29342
219	3624	29321
220	3642	29317
221	3659	29311
222	3676	29296
223	3692	29276
224	3709	29263
225	3725	29244
226	3742	29230
227	3759	29219
228	3776	29208
229	3792	29184
230	3807	29161
231	3823	29136
232	3838	29109
233	3854	29089
234	3871	29077
235	3887	29059
236	3905	29049
237	3919	29020
238	3935	28997
239	3952	28982
240	3968	28966
241	3983	28937
242	3998	28914
243	4015	28895
244	4031	28877
245	4047	28861
246	4065	28854
247	4081	28833
248	4098	28822
249	4115	28810
250	4132	28798
251	4147	28770
252	4162	28745
253	4178	28722
254	4195	28711
255	4211	28691
256	4228	28679
257	4245	28663
258	4260	28636
259	4275	28615
260	4291	28592
261	4307	28575
262	4323	28556
263	4338	28530
264	4355	28515
265	4371	28494
266	4386	28471
267	4401	28447
268	4417	28425
269	4432	28403
270	4448	28380
271	4465	28369
272	4482	28357
273	4498	28337
274	4514	28315
275	4529	28294
276	4546	28277
277	4561	28257
278	4578	28242
279	4595	28227
280	4611	28209
281	4628	28195
282	4643	28171
283	4659	28155
284	4676	28143
285	4693	28131
286	4710	28117
287	4728	28109
288	4744	28090
289	4760	28073
290	4777	28056
291	4793	28040
292	4811	28029
293	4828	28020
294	4847	28015
295	4865	28007
296	4882	27998
297	4900	27986
298	4916	27970
299	4935	27970
300	4954	27964
301	4973	27962
302	4991	27956
303	5008	27943
304	5025	27930
305	5042	27913
306	5058	27893
307	5074	27875
308	5091	27863
309	5108	27851
310	5124	27832
311	5140	27813
312	5157	27799
313	5175	27791
314	5190	27767
315	5208	27755
316	5225	27743
317	5242	27728
318	5258	27712
319	5275	27695
320	5291	27679
321	5307	27657
322	5323	27639
323	5340	27624
324	5357	27610
325	5373	27590
326	5389	27575
327	5406	27559
328	5421	27535
329	5437	27518
330	5454	27503
331	5471	27488
332	5488	27473
333	5505	27459
334	5522	27447
335	5540	27436
336	5556	27420
337	5573	27405
338	5590	27390
339	5605	27367
340	5620	27343
341	5636	27327
342	5652	27307
343	5668	27288
344	5685	27273
345	5702	27260
346	5718	27240
347	5735	27228
348	5752	27213
349	5769	27196
350	5785	27180
351	5802	27164
352	5817	27140
353	5832	27120
354	5850	27107
355	5867	27094
356	5884	27080
357	5901	27069
358	5918	27054
359	5934	27036
360	5950	27017
361	5966	26995
362	5981	26976
363	5998	26961
364	6014	26940
365	6030	26924
366	6047	26911
367	6064	26892
368	6080	26875
369	6097	26862
370	6114	26847
371	6130	26827
372	6146	26809
373	6163	26797
374	6180	26782
375	6198	26771
376	6215	26758
377	6232	26743
378	6249	26728
379	6266	26713
380	6282	26695
381	6299	26682
382	6316	26669
383	6334	26657
384	6351	26645
385	6370	26636
386	6387	26622
387	6404	26608
388	6420	26589
389	6436	26571
390	6452	26554
391	6469	26537
392	6487	26526
393	6503	26510
394	6519	26489
395	6535	26470
396	6550	26451
397	6566	26429
398	6582	26410
399	6600	26400
400	6615	26378
401	6633	26367
402	6652	26360
403	6668	26345
404	6685	26327
405	6702	26312
406	6717	26291
407	6733	26272
408	6750	26260
409	6768	26246
410	6784	26229
411	6799	26207
412	6815	26190
413	6832	26172
414	6848	26157
415	6865	26140
416	6881	26123
417	6899	26111
418	6917	26103
419	6934	26087
420	6951	26070
421	6967	26053
422	6983	26034
423	6998	26013
424	7013	25992
425	7029	25972
426	7046	25957
427	7063	25944
428	7080	25929
429	7096	25910
430	7111	25887
431	7127	25871
432	7146	25861
433	7163	25847
434	7180	25833
435	7197	25817
436	7214	25802
