age,fnlwgt,educational-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,gender,native-country,income
21,317175,9,0,0,60,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,United-States,<=50K
19,52114,10,0,0,10,?,Some-college,Never-married,?,Own-child,White,Female,United-States,<=50K
32,340580,9,0,0,45,?,HS-grad,Married-civ-spouse,?,Husband,Black,Male,United-States,<=50K
35,272944,13,0,0,40,Private,Bachelors,Divorced,Transport-moving,Not-in-family,White,Male,United-States,<=50K
21,174714,12,0,0,35,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
48,149218,13,0,0,70,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,>50K
46,199378,15,0,0,90,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
17,138293,7,0,0,15,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
47,308499,9,0,0,40,?,HS-grad,Divorced,?,Unmarried,White,Female,United-States,<=50K
25,207258,5,0,0,40,Private,9th,Never-married,Adm-clerical,Unmarried,White,Female,Mexico,<=50K
17,171080,8,0,0,20,Private,12th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
51,243631,9,2105,0,20,?,HS-grad,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,South,<=50K
44,102085,10,0,0,40,Private,Some-college,Divorced,Adm-clerical,Other-relative,White,Female,United-States,<=50K
77,209507,10,0,0,40,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
30,86808,13,0,0,40,Private,Bachelors,Never-married,Prof-specialty,Other-relative,White,Female,United-States,<=50K
42,173981,13,0,0,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,Italy,>50K
32,102858,12,0,2002,42,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
35,199753,9,0,0,48,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
73,84053,9,0,0,15,?,HS-grad,Widowed,?,Not-in-family,White,Female,United-States,<=50K
25,367306,10,0,0,40,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
39,163278,10,2202,0,44,Local-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
47,188081,9,0,0,40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
34,114973,9,0,0,30,Private,HS-grad,Separated,Exec-managerial,Unmarried,White,Female,United-States,<=50K
20,89991,10,0,0,35,Private,Some-college,Never-married,Sales,Other-relative,White,Female,United-States,<=50K
62,31577,9,0,0,18,?,HS-grad,Married-civ-spouse,?,Husband,White,Male,United-States,<=50K
48,209146,9,0,0,60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
19,283945,6,0,1602,45,Private,10th,Never-married,Handlers-cleaners,Other-relative,White,Male,United-States,<=50K
43,177905,9,3908,0,40,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
72,298070,11,6723,0,25,Private,Assoc-voc,Separated,Other-service,Unmarried,White,Female,United-States,<=50K
20,237305,10,0,0,35,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,Black,Female,United-States,<=50K
