customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,619,France,Female,42,d2,0.0,f0,g1,h1,101348.88,j1
15647311,608,Spain,Female,41,d1,83807.86,f0,g0,h1,112542.58,j0
15619304,502,France,Female,42,d8,159660.8,f2,g1,h0,113931.57,j1
15701354,699,France,Female,39,d1,0.0,f1,g0,h0,93826.63,j0
15737888,850,Spain,Female,43,d2,125510.82,f0,g1,h1,79084.1,j0
15574012,645,Spain,Male,44,d8,113755.78,f1,g1,h0,149756.71,j1
15592531,822,France,Male,50,d7,0.0,f1,g1,h1,10062.8,j0
15656148,376,Germany,Female,29,d4,115046.74,f3,g1,h0,119346.88,j1
15792365,501,France,Male,44,d4,142051.07,f1,g0,h1,74940.5,j0
15592389,684,France,Male,27,d2,134603.88,f0,g1,h1,71725.73,j0
15767821,528,France,Male,31,d6,102016.72,f1,g0,h0,80181.12,j0
15737173,497,Spain,Male,24,d3,0.0,f1,g1,h0,76390.01,j0
15632264,476,France,Female,34,d10,0.0,f1,g1,h0,26260.98,j0
15691483,549,France,Female,25,d5,0.0,f1,g0,h0,190857.79,j0
15600882,635,Spain,Female,35,d7,0.0,f1,g1,h1,65951.65,j0
15643966,616,Germany,Male,45,d3,143129.41,f1,g0,h1,64327.26,j0
15737452,653,Germany,Male,58,d1,132602.88,f0,g1,h0,5097.67,j1
15788218,549,Spain,Female,24,d9,0.0,f1,g1,h1,14406.41,j0
15661507,587,Spain,Male,45,d6,0.0,f0,g0,h0,158684.81,j0
15568982,726,France,Female,24,d6,0.0,f1,g1,h1,54724.03,j0
15577657,732,France,Male,41,d8,0.0,f1,g1,h1,170886.17,j0
15597945,636,Spain,Female,32,d8,0.0,f1,g1,h0,138555.46,j0
15699309,510,Spain,Female,38,d4,0.0,f0,g1,h0,118913.53,j1
15725737,669,France,Male,46,d3,0.0,f1,g0,h1,8487.75,j0
15625047,846,France,Female,38,d5,0.0,f0,g1,h1,187616.16,j0
15738191,577,France,Male,25,d3,0.0,f1,g0,h1,124508.29,j0
15736816,756,Germany,Male,36,d2,136815.64,f0,g1,h1,170041.95,j0
15700772,571,France,Male,44,d9,0.0,f1,g0,h0,38433.35,j0
15728693,574,Germany,Female,43,d3,141349.43,f0,g1,h1,100187.43,j0
15656300,411,France,Male,29,d0,59697.17,f1,g1,h1,53483.21,j0
15589475,591,Spain,Female,39,d3,0.0,f2,g1,h0,140469.38,j1
15706552,533,France,Male,36,d7,85311.7,f0,g0,h1,156731.91,j0
15750181,553,Germany,Male,41,d9,110112.54,f1,g0,h0,81898.81,j0
15659428,520,Spain,Female,42,d6,0.0,f1,g1,h1,34410.55,j0
15732963,722,Spain,Female,29,d9,0.0,f1,g1,h1,142033.07,j0
15794171,475,France,Female,45,d0,134264.04,f0,g1,h0,27822.99,j1
15788448,490,Spain,Male,31,d3,145260.23,f0,g0,h1,114066.77,j0
15729599,804,Spain,Male,33,d7,76548.6,f0,g0,h1,98453.45,j0
15717426,850,France,Male,36,d7,0.0,f0,g1,h1,40812.9,j0
