customer_id,credit_score,age,balance,estimated_salary,country,gender,tenure,products_number,credit_card,active_member,churn
15779103,527,39,96748.89,94711.43,Germany,Female,d9,f1,g1,h0,j0
15588123,677,27,0.0,114685.92,France,Female,d2,f1,g0,h1,j0
15698703,628,40,181768.32,129107.97,Germany,Male,d5,f1,g1,h1,j0
15802560,470,48,140576.11,116971.05,Spain,Female,d6,f0,g1,h1,j0
15750407,768,43,129264.05,19150.14,Germany,Female,d2,f1,g0,h0,j0
15623668,653,31,154741.45,25183.01,Germany,Male,d2,f1,g0,h0,j0
15566253,580,44,143391.07,146891.07,Germany,Male,d9,f0,g0,h0,j1
15641732,543,36,0.0,26019.59,France,Female,d3,f1,g0,h0,j0
15747222,745,35,0.0,116581.1,Spain,Female,d8,f1,g1,h1,j0
15587066,535,38,119272.29,195896.59,France,Male,d2,f0,g0,h0,j1
15754820,637,35,147127.81,84760.7,Germany,Male,d8,f1,g1,h1,j0
15762682,709,35,111827.27,12674.68,Spain,Female,d1,f1,g1,h0,j0
15771873,776,37,103769.22,194099.12,Germany,Female,d2,f1,g1,h0,j0
15728912,554,44,92436.86,126033.9,France,Female,d6,f0,g1,h0,j0
15662337,744,50,121498.11,106061.47,Germany,Female,d1,f1,g0,h1,j1
15638803,733,32,0.0,131625.14,Spain,Female,d5,f1,g1,h0,j0
15660417,613,43,120481.69,94875.03,Germany,Female,d10,f0,g0,h0,j1
15764073,503,36,0.0,16274.67,Spain,Female,d9,f1,g1,h1,j0
15674368,738,39,94435.45,189430.86,France,Female,d1,f1,g0,h1,j0
15804771,614,51,40685.92,46775.28,France,Male,d4,f0,g1,h1,j0
15812850,494,67,0.0,85890.16,Spain,Male,d5,f1,g1,h1,j0
15639133,773,50,0.0,129372.94,France,Female,d4,f1,g1,h0,j0
15650018,681,43,154100.3,114659.81,France,Female,d8,f0,g0,h0,j0
15790442,631,33,0.0,158268.84,Spain,Male,d2,f1,g1,h1,j0
15769948,737,35,133377.8,64050.19,Germany,Male,d0,f0,g0,h1,j0
15591969,497,27,75263.16,164825.04,Spain,Male,d9,f0,g1,h1,j0
15752463,826,29,129938.07,190200.53,Spain,Female,d4,f0,g0,h1,j0
15757821,771,18,0.0,41542.95,Spain,Male,d1,f1,g0,h0,j0
15721024,642,26,0.0,47472.68,France,Male,d0,f0,g0,h0,j0
15806771,753,40,3768.69,177065.24,France,Female,d0,f1,g1,h0,j1
15758769,625,44,0.0,4791.8,France,Female,d7,f0,g1,h0,j0
15775306,421,28,122384.22,89017.38,Germany,Male,d8,f2,g1,h1,j1
15711378,677,38,0.0,187800.63,France,Male,d4,f1,g1,h0,j0
15784890,763,32,0.0,16725.53,Spain,Female,d8,f1,g1,h0,j0
15801605,626,39,0.0,83295.09,France,Female,d0,f1,g1,h1,j0
15787907,719,42,137227.04,149097.38,Germany,Female,d5,f2,g1,h0,j1
15749669,542,31,0.0,115217.59,France,Female,d3,f1,g1,h1,j0
15581539,474,37,0.0,57175.32,Spain,Male,d3,f1,g0,h0,j0
15582168,713,61,149525.34,123663.63,Germany,Female,d4,f1,g1,h0,j0
15682955,758,32,84378.9,75396.43,France,Female,d2,f0,g1,h1,j0
15681990,497,24,111769.14,55859.27,Germany,Male,d6,f1,g1,h0,j0
15763806,773,41,0.0,24924.92,France,Male,d4,f1,g1,h1,j0
15573086,564,42,99824.45,36721.4,France,Male,d7,f0,g1,h1,j0
15581388,487,33,145729.71,41365.85,Spain,Male,d8,f0,g1,h0,j0
15689168,531,37,143407.29,84402.46,Spain,Male,d1,f1,g0,h1,j0
15663249,575,37,133292.45,111175.09,Spain,Female,d9,f0,g1,h0,j0
15662063,746,36,142400.77,193438.69,France,Male,d7,f0,g1,h1,j0
15723786,709,37,0.0,16733.59,France,Female,d9,f1,g1,h0,j0
15603247,743,35,146781.24,189307.7,Germany,Female,d1,f0,g1,h0,j0
15598070,564,33,135946.26,63170.0,France,Female,d4,f0,g1,h0,j0
15702149,767,33,144753.21,132480.75,Germany,Female,d1,f0,g1,h1,j0
15579777,850,41,0.0,128892.36,France,Male,d3,f1,g1,h0,j0
15657449,446,25,136202.78,176743.51,Germany,Male,d3,f0,g1,h0,j0
15733447,562,51,124662.54,65390.46,France,Female,d1,f0,g1,h1,j1
15733964,606,53,109330.06,75860.01,Spain,Female,d1,f0,g1,h1,j0
15755077,778,37,105617.73,133699.82,Germany,Female,d0,f1,g1,h1,j1
15670587,558,25,111363.1,197264.35,Germany,Male,d10,f1,g1,h0,j0
15614878,660,29,180520.29,123850.58,Germany,Female,d6,f0,g1,h1,j0
15673055,494,38,0.0,6203.66,Spain,Male,d7,f1,g1,h1,j0
15776156,521,27,121325.84,164223.7,France,Male,d4,f0,g1,h1,j1
15663888,549,34,204017.4,109538.35,Germany,Male,d6,f1,g1,h0,j0
15602851,629,40,0.0,106.67,France,Male,d9,f0,g1,h0,j0
15613923,581,43,170172.9,100236.02,Spain,Female,d4,f0,g0,h1,j0
15611088,790,31,0.0,84126.75,France,Female,d9,f1,g1,h0,j0
15624397,627,43,71240.3,127734.16,France,Male,d8,f0,g0,h1,j0
15779267,584,47,0.0,89286.29,France,Male,d5,f1,g1,h0,j0
15804009,806,36,167983.17,106714.28,Germany,Male,d8,f1,g1,h1,j0
15731281,704,35,154206.07,40261.49,Germany,Female,d3,f1,g1,h1,j0
15780411,570,46,0.0,820.46,France,Female,d3,f1,g0,h0,j0
15573152,620,41,0.0,88852.47,France,Female,d9,f1,g0,h0,j0
15709016,687,47,91219.29,158845.49,Germany,Female,d1,f0,g0,h0,j1
15718064,635,29,0.0,117173.8,Spain,Male,d2,f1,g0,h0,j0
15721779,826,41,146466.46,180934.67,Spain,Male,d5,f1,g0,h0,j0
15654574,499,36,131142.53,174918.46,Germany,Male,d5,f1,g1,h0,j0
15603134,656,40,167878.5,151887.16,Spain,Female,d10,f0,g0,h1,j0
15784280,686,35,109342.82,86043.27,Germany,Male,d2,f1,g0,h1,j0
15691457,674,36,0.0,182787.17,Spain,Male,d2,f1,g1,h1,j0
15663964,561,37,0.0,83093.25,France,Male,d5,f1,g1,h0,j0
15667085,667,33,0.0,131834.75,France,Male,d4,f1,g1,h1,j0
15586993,655,56,0.0,41782.7,Spain,Female,d5,f1,g1,h1,j0
15739847,850,38,146756.68,78268.61,Germany,Male,d5,f0,g1,h0,j0
15779414,696,40,153639.11,138351.68,Spain,Male,d3,f0,g1,h1,j0
15811877,700,36,0.0,130789.15,France,Female,d4,f1,g1,h0,j0
15699446,816,25,150355.35,35770.84,Germany,Female,d2,f1,g1,h1,j0
15806407,652,37,0.0,143393.24,France,Female,d4,f1,g1,h0,j0
15652667,590,39,0.0,104730.52,France,Male,d9,f1,g1,h1,j0
15599074,487,40,136093.74,193408.43,Spain,Female,d6,f0,g0,h1,j0
15696674,643,45,150842.93,2319.96,Germany,Female,d2,f0,g0,h1,j1
15786433,650,35,165982.43,24482.16,Germany,Female,d3,f1,g1,h1,j0
15663421,527,28,128396.33,79919.97,Spain,Male,d6,f1,g1,h0,j0
15621093,681,31,97338.19,48226.76,Germany,Male,d4,f1,g0,h0,j0
15647311,608,41,83807.86,112542.58,Spain,Female,d1,f0,g0,h1,j0
15721504,731,41,0.0,101371.72,Spain,Male,d3,f1,g1,h0,j0
15661034,813,29,106059.4,187976.88,Germany,Female,d5,f0,g0,h0,j1
15680201,627,24,102773.2,56793.02,Germany,Male,d5,f1,g1,h0,j1
15661473,780,51,126725.25,195259.31,Germany,Male,d4,f0,g1,h0,j1
15691874,687,34,125474.44,198929.84,France,Female,d9,f0,g1,h0,j0
15594902,518,38,90957.81,162304.59,France,Male,d3,f0,g0,h1,j0
15601787,641,35,103711.56,192464.21,Germany,Male,d2,f0,g0,h1,j1
15569432,656,48,0.0,85240.61,France,Female,d9,f1,g1,h1,j1
15636590,575,46,0.0,65998.26,France,Male,d1,f1,g1,h1,j0
15586680,462,27,176913.52,80587.27,France,Male,d4,f0,g1,h0,j0
15574237,588,21,0.0,110114.19,France,Female,d8,f1,g1,h1,j0
15705085,670,29,0.0,27359.19,Spain,Female,d9,f1,g1,h0,j0
15662955,697,27,141223.68,90591.15,France,Male,d8,f1,g1,h0,j0
15709222,557,34,0.0,123427.98,Spain,Male,d3,f0,g0,h1,j0
15747867,583,24,135125.28,89801.9,France,Male,d9,f0,g0,h0,j0
15708650,727,31,52192.08,160383.47,France,Female,d2,f1,g0,h1,j0
15765694,584,59,0.0,130260.11,Spain,Female,d1,f0,g0,h1,j1
15667321,644,49,0.0,145089.64,Spain,Male,d10,f1,g1,h1,j0
15574352,850,43,161256.53,140071.57,France,Male,d4,f0,g1,h1,j0
15662571,639,35,0.0,170483.9,France,Male,d8,f1,g1,h0,j0
15709447,584,26,146286.22,105105.35,France,Female,d0,f0,g1,h0,j0
15671610,740,36,0.0,13177.4,France,Male,d7,f0,g1,h1,j0
15742504,593,36,70181.48,80608.12,France,Male,d2,f1,g1,h0,j0
15751158,571,42,108825.34,55558.51,France,Female,d4,f2,g1,h0,j1
15581089,744,35,0.0,43036.6,Spain,Male,d7,f1,g1,h1,j0
15741385,710,45,108231.37,188574.08,Germany,Male,d9,f0,g1,h1,j0
15791988,670,68,0.0,11426.7,France,Male,d4,f1,g1,h1,j0
15738936,760,29,103607.24,86334.64,Germany,Male,d5,f1,g0,h1,j0
15625929,762,44,159316.64,24780.13,France,Female,d7,f0,g0,h0,j0
15581282,651,39,0.0,24176.44,France,Female,d6,f0,g1,h0,j0
15630349,543,23,0.0,117832.39,Spain,Male,d5,f1,g1,h0,j0
15713845,688,38,148045.68,175479.92,France,Male,d7,f0,g1,h0,j1
15610711,678,40,128644.46,167673.37,Germany,Female,d8,f0,g0,h0,j0
15754443,443,35,108308.0,129031.19,France,Female,d9,f0,g1,h0,j1
15780056,660,33,0.0,29664.45,Spain,Male,d4,f0,g1,h0,j0
15660528,659,27,0.0,99341.87,Spain,Male,d4,f1,g1,h0,j0
15673877,490,39,0.0,171060.01,France,Male,d1,f2,g1,h0,j1
15642137,695,39,0.0,102763.69,Spain,Female,d5,f1,g0,h0,j0
15720941,710,34,147833.3,1561.58,Germany,Male,d8,f1,g0,h1,j0
15728505,601,44,100486.18,62678.53,France,Male,d1,f1,g1,h1,j0
15811842,630,26,0.0,6656.64,Spain,Male,d7,f1,g1,h1,j0
15773322,536,44,121898.82,131007.18,Germany,Female,d4,f0,g0,h0,j0
15691061,740,37,0.0,73225.31,France,Female,d9,f1,g1,h1,j0
15756475,551,31,82293.82,91565.25,Germany,Male,d9,f1,g1,h1,j0
15641585,850,40,97339.99,88815.25,France,Male,d6,f0,g0,h1,j0
15788126,689,38,121021.05,12182.15,Spain,Female,d6,f0,g1,h1,j0
15590820,699,26,79932.41,150242.44,Spain,Male,d6,f0,g0,h0,j0
15802060,646,30,100548.67,136983.77,Germany,Female,d10,f1,g0,h0,j0
15758306,654,32,0.0,137898.57,France,Male,d6,f1,g1,h1,j0
15760456,731,38,123711.73,171340.68,France,Female,d10,f1,g1,h0,j1
15750181,553,41,110112.54,81898.81,Germany,Male,d9,f1,g0,h0,j0
15571843,486,24,0.0,98802.76,Spain,Male,d1,f0,g1,h0,j0
15635367,774,26,93844.69,28415.36,France,Male,d2,f0,g1,h0,j0
15575243,764,39,129068.54,187905.12,France,Female,d1,f1,g1,h1,j0
15793491,714,26,119545.48,65482.94,Germany,Male,d3,f1,g1,h0,j0
15707219,844,28,0.0,123318.37,France,Female,d4,f1,g0,h1,j0
15609562,774,43,116360.07,17004.14,Spain,Female,d1,f0,g1,h0,j0
15732235,662,64,98848.19,42730.12,France,Male,d0,f0,g0,h1,j0
15756301,636,29,97325.15,131924.38,Germany,Female,d3,f0,g0,h1,j0
15790282,817,58,114327.59,42831.11,Germany,Male,d3,f1,g1,h1,j0
15700710,490,37,116465.53,24435.77,France,Female,d3,f0,g0,h1,j0
15794396,494,38,174937.64,40084.32,Germany,Female,d7,f0,g1,h0,j0
15689952,724,41,0.0,115753.94,Spain,Male,d5,f0,g0,h1,j0
15767781,648,38,82697.28,74846.67,France,Male,d10,f0,g1,h0,j0
15782778,815,35,0.0,198490.33,France,Male,d4,f1,g0,h1,j0
