year,month,day,hour,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5
a0,b0,c1,d0,-16,-4.0,1020.0,SE,1.79,i0,0,129.0
a0,b0,c1,d1,-15,-4.0,1020.0,SE,2.68,i0,0,148.0
a0,b0,c1,d2,-11,-5.0,1021.0,SE,3.57,i0,0,159.0
a0,b0,c1,d3,-7,-5.0,1022.0,SE,5.36,i1,0,181.0
a0,b0,c1,d4,-7,-5.0,1022.0,SE,6.25,i2,0,138.0
a0,b0,c1,d5,-7,-6.0,1022.0,SE,7.14,i3,0,109.0
a0,b0,c1,d6,-7,-6.0,1023.0,SE,8.93,i4,0,105.0
a0,b0,c1,d7,-7,-5.0,1024.0,SE,10.72,i0,0,124.0
a0,b0,c1,d8,-8,-6.0,1024.0,SE,12.51,i0,0,120.0
a0,b0,c1,d9,-7,-5.0,1025.0,SE,14.3,i0,0,132.0
a0,b0,c1,d10,-7,-5.0,1026.0,SE,17.43,i1,0,140.0
a0,b0,c1,d11,-8,-5.0,1026.0,SE,20.56,i0,0,152.0
a0,b0,c1,d12,-8,-5.0,1026.0,SE,23.69,i0,0,148.0
a0,b0,c1,d13,-8,-5.0,1025.0,SE,27.71,i0,0,164.0
a0,b0,c1,d14,-9,-5.0,1025.0,SE,31.73,i0,0,158.0
a0,b0,c1,d15,-9,-5.0,1025.0,SE,35.75,i0,0,154.0
a0,b0,c1,d16,-9,-5.0,1026.0,SE,37.54,i0,0,159.0
a0,b0,c1,d17,-8,-5.0,1027.0,SE,39.33,i0,0,164.0
a0,b0,c1,d18,-8,-5.0,1027.0,SE,42.46,i0,0,170.0
a0,b0,c1,d19,-8,-5.0,1028.0,SE,44.25,i0,0,149.0
a0,b0,c1,d20,-7,-5.0,1028.0,SE,46.04,i0,0,154.0
a0,b0,c1,d21,-7,-5.0,1027.0,SE,49.17,i1,0,164.0
a0,b0,c1,d22,-8,-6.0,1028.0,SE,52.3,i2,0,156.0
a0,b0,c1,d23,-8,-6.0,1027.0,SE,55.43,i3,0,126.0
a0,b0,c2,d0,-7,-6.0,1027.0,SE,58.56,i4,0,90.0
a0,b0,c2,d1,-8,-6.0,1026.0,SE,61.69,i5,0,63.0
a0,b0,c2,d2,-8,-7.0,1026.0,SE,65.71,i6,0,65.0
a0,b0,c2,d3,-8,-7.0,1025.0,SE,68.84,i7,0,55.0
a0,b0,c2,d4,-8,-7.0,1024.0,SE,72.86,i8,0,65.0
a0,b0,c2,d5,-9,-8.0,1024.0,SE,76.88,i9,0,83.0
a0,b0,c2,d6,-10,-8.0,1024.0,SE,80.9,i10,0,91.0
a0,b0,c2,d7,-10,-9.0,1024.0,SE,84.92,i11,0,86.0
a0,b0,c2,d8,-10,-9.0,1024.0,SE,89.84,i12,0,82.0
a0,b0,c2,d9,-11,-9.0,1023.0,SE,93.86,i13,0,86.0
a0,b0,c2,d10,-11,-9.0,1023.0,SE,97.88,i15,0,78.0
a0,b0,c2,d11,-11,-9.0,1022.0,SE,102.8,i16,0,98.0
a0,b0,c2,d12,-11,-9.0,1021.0,SE,105.93,i17,0,107.0
a0,b0,c2,d13,-11,-9.0,1020.0,SE,111.74,i19,0,90.0
a0,b0,c2,d14,-11,-9.0,1020.0,SE,116.66,i20,0,96.0
a0,b0,c2,d15,-11,-9.0,1020.0,SE,121.58,i21,0,95.0
a0,b0,c2,d16,-11,-9.0,1020.0,SE,124.71,i22,0,86.0
a0,b0,c2,d17,-11,-9.0,1020.0,SE,127.84,i23,0,70.0
a0,b0,c2,d18,-11,-9.0,1021.0,cv,0.89,i24,0,61.0
a0,b0,c2,d19,-11,-9.0,1022.0,cv,1.78,i25,0,53.0
a0,b0,c2,d20,-10,-9.0,1022.0,NW,4.02,i26,0,71.0
a0,b0,c2,d21,-11,-10.0,1023.0,NW,7.15,i27,0,72.0
a0,b0,c2,d22,-11,-9.0,1023.0,NW,11.17,i0,0,76.0
a0,b0,c2,d23,-12,-11.0,1023.0,NW,14.3,i0,0,73.0
a0,b0,c3,d0,-14,-12.0,1023.0,NW,16.09,i0,0,79.0
a0,b0,c3,d1,-16,-9.0,1023.0,NW,21.9,i0,0,58.0
a0,b0,c3,d2,-17,-10.0,1024.0,NW,29.95,i0,0,25.0
a0,b0,c3,d3,-18,-11.0,1024.0,NW,39.78,i0,0,26.0
a0,b0,c3,d4,-19,-11.0,1025.0,NW,48.72,i0,0,28.0
a0,b0,c3,d5,-20,-12.0,1026.0,NW,55.87,i0,0,26.0
a0,b0,c3,d6,-21,-12.0,1027.0,NW,64.81,i0,0,20.0
a0,b0,c3,d7,-21,-13.0,1027.0,NW,73.75,i0,0,29.0
a0,b0,c3,d8,-22,-13.0,1028.0,NW,80.9,i0,0,26.0
a0,b0,c3,d9,-22,-13.0,1029.0,NW,90.73,i0,0,27.0
a0,b0,c3,d10,-22,-12.0,1030.0,NW,100.56,i0,0,27.0
