DEWP,TEMP,PRES,Iws,Ir,year,month,day,hour,cbwd,Is,pm2.5
-10,-3.0,1025.0,1.79,0,a1,b2,c3,d7,SE,i0,105.0
-17,-2.0,1017.0,2.67,0,a2,b11,c30,d13,cv,i0,90.0
-3,2.0,1024.0,0.89,0,a3,b2,c14,d0,cv,i0,182.0
12,19.0,1011.0,3.13,0,a1,b9,c12,d20,NW,i0,46.0
-12,9.0,1022.0,0.89,0,a4,b2,c17,d5,cv,i0,13.0
27,31.0,1002.0,1.79,0,a1,b6,c23,d12,SE,i0,375.0
0,26.0,1014.0,3.58,0,a4,b3,c21,d12,cv,i0,56.0
0,11.0,1029.0,67.92,0,a1,b10,c1,d9,NW,i0,17.0
5,25.0,1018.0,1.78,0,a2,b7,c21,d10,cv,i0,13.0
16,26.0,1008.0,5.81,0,a4,b5,c9,d12,SE,i0,80.0
16,25.0,1003.0,1.79,0,a2,b5,c15,d20,NE,i0,29.0
19,25.0,1004.0,1.79,0,a4,b7,c9,d9,SE,i0,25.0
-6,-2.0,1029.0,1.79,0,a3,b0,c13,d12,NE,i0,335.0
20,28.0,1003.0,57.66,0,a4,b6,c27,d22,SE,i0,83.0
-7,-7.0,1029.0,34.88,0,a1,b1,c12,d2,SE,i5,59.0
20,20.0,1014.0,0.89,0,a1,b7,c26,d4,cv,i0,92.0
-6,2.0,1017.0,0.89,0,a4,b0,c30,d17,cv,i0,144.0
17,27.0,1009.0,4.92,0,a3,b5,c19,d22,SE,i0,146.0
-23,1.0,1027.0,19.22,0,a0,b1,c2,d13,NW,i0,14.0
14,22.0,1018.0,3.57,0,a2,b8,c5,d11,cv,i0,84.0
-1,18.0,1007.0,11.18,0,a2,b3,c11,d21,SE,i0,29.0
-9,2.0,1021.0,1.79,0,a1,b2,c16,d1,SE,i0,125.0
-22,-1.0,1030.0,3.13,0,a2,b1,c13,d21,NW,i0,57.0
23,23.0,1004.0,55.88,0,a1,b6,c21,d7,SE,i0,59.0
-6,13.0,1019.0,3.57,0,a2,b10,c7,d13,cv,i0,29.0
-20,-8.0,1030.0,8.04,0,a3,b1,c18,d5,NW,i0,12.0
7,25.0,1014.0,3.58,0,a2,b4,c8,d11,SE,i0,146.0
21,22.0,1011.0,3.58,14,a0,b7,c18,d3,NW,i0,85.0
4,15.0,1006.0,1.79,0,a0,b3,c7,d22,SE,i0,124.0
-9,5.0,1037.0,8.94,0,a0,b9,c24,d23,NE,i0,11.0
-16,5.0,1023.0,173.91,0,a4,b10,c11,d5,NW,i0,3.0
10,17.0,1020.0,14.76,0,a2,b9,c4,d20,SE,i0,90.0
0,2.0,1022.0,4.45,0,a2,b9,c16,d5,cv,i0,6.0
25,28.0,1006.0,4.46,0,a2,b6,c26,d14,cv,i0,99.0
-14,-9.0,1026.0,0.89,0,a3,b0,c5,d22,cv,i0,413.0
-11,9.0,1014.0,273.59,0,a0,b3,c27,d8,NW,i0,14.0
-22,-3.0,1035.0,19.23,0,a1,b0,c28,d13,NW,i0,11.0
15,17.0,1018.0,0.89,0,a1,b8,c10,d22,cv,i0,56.0
-8,3.0,1024.0,0.89,0,a0,b3,c6,d3,NE,i0,87.0
-8,1.0,1027.0,21.02,0,a4,b10,c13,d8,NW,i0,40.0
17,22.0,1015.0,9.39,0,a3,b8,c2,d20,SE,i0,119.0
4,19.0,1009.0,33.97,0,a4,b4,c0,d20,NW,i0,113.0
-2,6.0,1021.0,1.79,0,a4,b10,c20,d10,NW,i0,177.0
24,28.0,1002.0,15.2,0,a1,b7,c7,d9,NW,i0,109.0
-11,7.0,1016.0,247.21,0,a3,b3,c8,d3,NW,i0,6.0
17,28.0,1006.0,20.57,0,a2,b6,c14,d23,SE,i0,58.0
