C1,C2,C3,C4,C5,C6,C7,C8,C9,label
1508544000.0,1546497240.0,0.84,31.74,e0,Brown Tabby,f0,g1,h1,i1
1525305600.0,1540308960.0,0.13,46.01,e2,Blue Merle,f0,g7,h2,i1
1531440000.0,1538329020.0,0.35,9.99,e0,Black,f0,g1,h1,i1
1512777600.0,1520423400.0,0.62,23.21,e1,Brown Tabby,f0,g1,h1,i0
1508976000.0,1529770560.0,0.55,15.44,e1,Black,f13,g9,h2,i0
1528675200.0,1537270860.0,0.0,45.01,e0,Black Tabby,f0,g1,h1,i1
1505088000.0,1542892980.0,0.81,22.85,e1,Brown,f0,g1,h2,i0
1462406400.0,1469807400.0,0.63,10.88,e1,Blue Tabby,f7,g1,h1,i0
1545436800.0,1552752360.0,0.33,40.69,e1,Brown Tabby,f0,g1,h1,i0
1499817600.0,1508438220.0,0.44,15.79,e1,Black,f7,g1,h1,i0
1489104000.0,1504289880.0,0.77,43.27,e0,Orange Tabby,f16,g9,h1,i1
1504051200.0,1513788420.0,0.81,43.12,e1,Lynx Point,f7,g1,h1,i0
1486080000.0,1503738360.0,0.86,17.76,e2,Black,f13,g9,h1,i0
1462579200.0,1507314120.0,0.06,28.03,e0,Black,f0,g7,h2,i1
1458864000.0,1508423220.0,0.05,31.86,e1,Tan,f0,g1,h2,i0
1333411200.0,1556816760.0,0.74,48.14,e1,Black Brindle,f0,g7,h2,i0
1346716800.0,1505992620.0,0.31,41.8,e0,Blue Merle,f0,g7,h2,i1
1414368000.0,1510995600.0,0.64,24.47,e1,Blue Tabby,f16,g9,h1,i0
1492473600.0,1526688000.0,0.1,27.9,e1,Tan,f13,g9,h2,i0
1473724800.0,1486831440.0,0.17,18.26,e0,White,f0,g1,h1,i1
1479600000.0,1489482960.0,0.24,37.01,e0,Brown Tabby,f7,g1,h1,i1
1479427200.0,1487705220.0,0.27,38.15,e0,Brown Tabby,f0,g1,h1,i1
1511481600.0,1547474520.0,0.4,20.06,e2,Black,f13,g9,h2,i1
1480896000.0,1549876920.0,0.65,24.86,e1,Black,f7,g1,h2,i0
1482624000.0,1492800600.0,0.42,27.15,e1,Black,f16,g9,h1,i0
1508457600.0,1512915180.0,0.58,49.31,e2,White,f13,g9,h1,i1
1403481600.0,1488036360.0,0.29,16.75,e0,Brown Brindle,f13,g9,h2,i1
1381536000.0,1478629920.0,0.86,9.9,e1,Brown Tabby,f0,g1,h1,i0
1527724800.0,1536252060.0,0.37,7.53,e0,Black,f0,g1,h1,i1
1468713600.0,1475589780.0,0.1,46.86,e1,Sable,f13,g9,h2,i0
1317427200.0,1504876680.0,0.77,16.59,e1,Blue Tabby,f0,g1,h1,i0
1453161600.0,1499968380.0,0.62,46.07,e1,White,f0,g1,h2,i0
1128470400.0,1478097900.0,0.68,23.23,e1,White,f13,g9,h2,i0
1418342400.0,1555506660.0,0.71,26.01,e1,Black,f0,g7,h2,i0
1410220800.0,1475842200.0,0.44,20.51,e2,Torbie,f13,g9,h1,i1
