laufkont,laufzeit,moral,verw,hoehe,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,alter,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,kredit
a0,18,c4,d2,1049,f0,g1,h3,i1,j0,k3,l1,21,n2,o0,p0,q2,r1,s0,t1,u1
a0,9,c4,d0,2799,f0,g2,h1,i2,j0,k1,l0,36,n2,o0,p1,q2,r0,s0,t1,u1
a1,12,c2,d8,841,f1,g3,h1,i1,j0,k3,l0,23,n2,o0,p0,q1,r1,s0,t1,u1
a0,12,c4,d0,2122,f0,g2,h2,i2,j0,k1,l0,39,n2,o0,p1,q1,r0,s0,t0,u1
a0,12,c4,d0,2171,f0,g2,h3,i2,j0,k3,l1,38,n0,o1,p1,q1,r1,s0,t0,u1
a0,10,c4,d0,2241,f0,g1,h0,i2,j0,k2,l0,48,n2,o0,p1,q1,r0,s0,t0,u1
a0,8,c4,d0,3398,f0,g3,h0,i2,j0,k3,l0,39,n2,o1,p1,q1,r1,s0,t0,u1
a0,6,c4,d0,1361,f0,g1,h1,i2,j0,k3,l0,40,n2,o1,p0,q1,r0,s0,t0,u1
a3,18,c4,d3,1098,f0,g0,h3,i1,j0,k3,l2,65,n2,o1,p1,q0,r1,s0,t1,u1
a1,24,c2,d3,3758,f2,g0,h0,i1,j0,k3,l3,23,n2,o0,p0,q0,r1,s0,t1,u1
a0,11,c4,d0,3905,f0,g2,h1,i2,j0,k1,l0,36,n2,o0,p1,q2,r0,s0,t1,u1
a0,30,c4,d1,6187,f1,g3,h0,i3,j0,k3,l2,24,n2,o0,p1,q2,r1,s0,t1,u1
a0,6,c4,d3,1957,f0,g3,h0,i1,j0,k3,l2,31,n2,o1,p0,q2,r1,s0,t1,u1
a1,48,c3,d9,7582,f1,g0,h1,i2,j0,k3,l3,31,n2,o1,p0,q3,r1,s1,t1,u1
a0,18,c2,d3,1936,f4,g3,h1,i3,j0,k3,l2,23,n2,o0,p1,q1,r1,s0,t1,u1
a0,6,c2,d3,2647,f2,g2,h1,i2,j0,k2,l0,44,n2,o0,p0,q2,r0,s0,t1,u1
a0,11,c4,d0,3939,f0,g2,h0,i2,j0,k1,l0,40,n2,o1,p1,q1,r0,s0,t1,u1
a1,18,c2,d3,3213,f2,g1,h0,i3,j0,k2,l0,25,n2,o0,p0,q2,r1,s0,t1,u1
a1,36,c4,d3,2337,f0,g4,h3,i2,j0,k3,l0,36,n2,o1,p0,q2,r1,s0,t1,u1
a3,11,c4,d0,7228,f0,g2,h0,i2,j0,k3,l1,39,n2,o1,p1,q1,r1,s0,t1,u1
