laufzeit,hoehe,alter,laufkont,moral,verw,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,kredit
12,1108,28,a0,c0,d5,f0,g3,h3,i2,j0,k2,l0,n2,o1,p1,q2,r1,s0,t1,u0
6,662,41,a0,c2,d0,f0,g1,h2,i2,j0,k3,l0,n2,o1,p0,q1,r0,s1,t1,u1
12,1103,29,a1,c2,d3,f0,g3,h3,i2,j2,k2,l0,n2,o1,p1,q2,r1,s0,t1,u1
18,2779,21,a1,c2,d1,f0,g2,h0,i3,j0,k2,l2,n2,o0,p0,q2,r1,s1,t1,u1
6,1204,35,a3,c0,d0,f1,g2,h3,i2,j0,k0,l3,n0,o0,p0,q2,r1,s0,t0,u1
6,1338,62,a3,c2,d4,f2,g2,h0,i0,j0,k3,l0,n2,o1,p0,q2,r1,s0,t1,u1
24,2039,22,a1,c2,d3,f0,g1,h0,i3,j0,k0,l1,n2,o1,p0,q2,r1,s1,t1,u0
36,5742,31,a3,c2,d8,f1,g3,h1,i2,j0,k1,l2,n2,o1,p1,q2,r1,s1,t1,u1
18,4439,33,a1,c2,d8,f0,g4,h0,i2,j1,k0,l0,n0,o1,p0,q3,r1,s1,t1,u1
12,1007,22,a1,c2,d0,f3,g2,h3,i3,j0,k0,l0,n2,o1,p0,q2,r1,s0,t1,u1
12,1474,33,a2,c2,d2,f0,g1,h3,i1,j0,k0,l1,n0,o1,p0,q3,r1,s1,t1,u1
18,1245,33,a1,c4,d3,f0,g2,h3,i3,j0,k1,l2,n2,o1,p0,q2,r1,s0,t1,u0
15,1053,27,a0,c2,d3,f0,g1,h3,i3,j0,k1,l0,n2,o1,p0,q2,r1,s0,t0,u1
18,3190,24,a0,c2,d3,f0,g2,h1,i1,j0,k1,l0,n2,o1,p0,q2,r1,s0,t1,u0
24,6314,27,a3,c4,d9,f0,g0,h3,i2,j1,k1,l3,n0,o1,p1,q3,r1,s1,t1,u1
9,1366,22,a0,c2,d3,f0,g1,h2,i1,j0,k3,l1,n2,o0,p0,q2,r1,s0,t1,u0
18,5866,30,a1,c2,d0,f1,g2,h1,i2,j0,k1,l2,n2,o1,p1,q2,r1,s1,t1,u1
24,1927,33,a3,c4,d6,f4,g2,h2,i1,j0,k1,l2,n2,o1,p1,q2,r1,s1,t1,u1
6,1352,23,a0,c2,d1,f2,g0,h0,i1,j0,k1,l1,n2,o0,p0,q0,r1,s1,t1,u1
9,1449,27,a3,c2,d8,f0,g3,h2,i1,j0,k1,l2,n2,o1,p1,q2,r1,s0,t1,u1
21,3652,27,a1,c4,d8,f0,g3,h1,i2,j0,k2,l1,n2,o1,p1,q2,r1,s0,t1,u1
18,3244,33,a1,c0,d2,f0,g2,h0,i1,j0,k3,l2,n0,o1,p1,q2,r1,s1,t1,u1
24,5084,42,a1,c2,d3,f4,g4,h1,i1,j0,k3,l2,n2,o1,p0,q2,r1,s1,t1,u1
18,1940,36,a0,c1,d3,f0,g1,h2,i2,j1,k3,l3,n0,o2,p0,q3,r1,s1,t1,u1
21,2241,50,a3,c2,d2,f0,g4,h3,i2,j0,k1,l0,n2,o1,p1,q2,r1,s0,t1,u1
15,1360,31,a3,c4,d3,f0,g2,h3,i2,j0,k1,l1,n2,o1,p1,q2,r1,s0,t1,u1
9,1224,30,a3,c4,d0,f0,g2,h2,i2,j0,k0,l0,n2,o1,p1,q2,r1,s0,t1,u1
12,2121,30,a0,c4,d0,f0,g2,h3,i2,j0,k1,l1,n2,o1,p1,q2,r1,s0,t1,u1
12,1386,26,a3,c2,d0,f2,g2,h1,i1,j0,k1,l1,n2,o1,p0,q2,r1,s0,t1,u0
24,3345,39,a0,c2,d2,f0,g4,h3,i2,j0,k1,l1,n2,o0,p0,q3,r1,s1,t1,u0
24,3488,23,a3,c2,d1,f1,g3,h2,i1,j0,k3,l2,n2,o1,p0,q2,r1,s0,t1,u1
24,1967,20,a1,c2,d3,f0,g4,h3,i1,j0,k3,l2,n2,o1,p0,q2,r1,s1,t1,u1
6,428,49,a0,c2,d2,f0,g4,h1,i1,j0,k0,l1,n0,o1,p0,q2,r1,s1,t1,u1
24,4020,27,a0,c2,d2,f0,g2,h1,i2,j0,k1,l2,n1,o1,p0,q2,r1,s0,t1,u1
10,1546,31,a3,c2,d0,f0,g2,h2,i2,j0,k1,l0,n2,o1,p0,q1,r0,s0,t0,u1
