C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,label
7135.0,0.4776454,0.0939033,0.1365102,0.1344245,0.8421864,0.0147162,0.6850694,0.0041667,0.0295139,0.0736571,0.0885417,0.9961806,0.4065616,0.0833333,0.6521739,42400.0
1099.0,0.4749773,0.0,0.4185623,0.1733102,0.8198362,0.0063694,0.6796296,0.0018519,0.0296296,0.4572864,0.0,0.9759259,0.5427136,0.0882353,0.7714286,53000.0
42918.0,0.4839927,0.0034484,0.1233049,0.0973991,0.7021296,0.0623282,0.5636703,0.0039034,0.1033546,0.0438663,0.0031114,0.9904396,0.4730095,0.0432396,0.5151515,51800.0
135.0,0.5185185,0.0,0.2,0.0615385,0.8592593,0.0,0.7358491,0.0188679,0.0754717,0.2205882,0.0,1.0,0.2205882,0.0,1.0,14999.0
230.0,0.4608696,0.3130435,0.1652174,0.1612903,0.8130435,0.0652174,0.6785714,0.0,0.0119048,0.125,0.2738095,1.0,0.3125,0.1111111,1.0,48100.0
109.0,0.5229358,0.0183486,0.1834862,0.1346154,0.8256881,0.0642202,0.7317073,0.0,0.0243902,0.18,0.0,1.0,0.16,0.2857143,0.6666667,37100.0
213.0,0.5446009,0.0,0.084507,0.0824742,0.8403756,0.0,0.6506024,0.0,0.060241,0.2314815,0.0,1.0,0.5185185,0.1333333,0.6666667,28800.0
3122.0,0.4830237,0.0057655,0.168802,0.1263941,0.8526586,0.0240231,0.7116071,0.0035714,0.0401786,0.183078,0.0098214,0.7544643,0.4514953,0.1735537,0.4772727,33800.0
116.0,0.4913793,0.0,0.1982759,0.1525424,0.8534483,0.0,0.7,0.02,0.02,0.0909091,0.0,1.0,0.2,0.0,1.0,14999.0
1033.0,0.4801549,0.0019361,0.2371733,0.1899441,0.803485,0.0687318,0.707124,0.0131926,0.0343008,0.0997625,0.0,0.9894459,0.2945368,0.1313131,0.5,28700.0
16370.0,0.4859499,0.0766646,0.2071472,0.1821747,0.7641417,0.0914478,0.6597126,0.002318,0.0210168,0.1078175,0.0602689,0.9928914,0.3029091,0.0725118,0.7222222,23300.0
6413.0,0.4768439,0.0601902,0.1386247,0.1275708,0.8630906,0.0213629,0.735357,0.006413,0.0380504,0.0677561,0.0602822,0.9816161,0.3184536,0.0763791,0.3888889,42500.0
