C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,label
7996720050.0,30848.40000000014,c3,3.0,2440.0,3202.0,2.0,h6,1640.0,800.0,1982.0,0.0,98133.0,47.7152,-122.342,2440.0,3200.0,r0,s0,t3,515000.0
3449800290.0,29293.200000000183,c5,2.75,3710.0,8674.0,2.0,h7,3710.0,0.0,1996.0,0.0,98056.0,47.514,-122.176,3250.0,8678.0,r0,s0,t2,641000.0
3889100029.0,3974.40000000014,c3,2.5,2670.0,10481.0,2.0,h7,2670.0,0.0,2003.0,0.0,98033.0,47.6673,-122.176,2620.0,8895.0,r0,s0,t2,810000.0
1665400045.0,31194.0,c3,1.0,1000.0,7636.0,1.0,h5,1000.0,0.0,1952.0,0.0,98166.0,47.472,-122.344,1150.0,7600.0,r0,s0,t1,186375.0
538000440.0,31453.200000000183,c3,2.5,1580.0,4698.0,2.0,h5,1580.0,0.0,1998.0,0.0,98038.0,47.3539,-122.025,2070.0,4698.0,r0,s0,t2,325000.0
806000020.0,26960.40000000014,c3,1.5,1200.0,9120.0,1.0,h5,1000.0,200.0,1963.0,0.0,98055.0,47.4545,-122.187,1640.0,9200.0,r0,s0,t2,203000.0
2450000295.0,13651.200000000186,c3,2.5,2920.0,8113.0,2.0,h6,2920.0,0.0,1950.0,2010.0,98004.0,47.5814,-122.196,2370.0,8113.0,r0,s0,t2,1088000.0
1901600090.0,4752.0,c5,1.75,1940.0,6654.0,1.5,h5,1940.0,0.0,1953.0,0.0,98166.0,47.4663,-122.359,2300.0,9500.0,r0,s0,t3,359000.0
2770601763.0,28083.600000000093,c3,3.5,1790.0,1288.0,3.0,h6,1390.0,400.0,2000.0,0.0,98199.0,47.651,-122.384,1560.0,1426.0,r0,s0,t2,450000.0
3326069026.0,28861.200000000183,c3,1.75,2340.0,57499.0,1.0,h6,2340.0,0.0,1988.0,0.0,98053.0,47.6989,-122.044,3260.0,137649.0,r0,s0,t2,600000.0
5249804825.0,5270.40000000014,c3,2.0,1340.0,7200.0,1.5,h5,1340.0,0.0,1923.0,0.0,98118.0,47.5601,-122.265,1630.0,5760.0,r0,s0,t3,545000.0
7312200040.0,19702.800000000047,c4,2.5,1790.0,9787.0,1.0,h6,1240.0,550.0,1983.0,0.0,98056.0,47.5344,-122.189,1790.0,9787.0,r0,s2,t3,560000.0
5415350770.0,12441.600000000091,c4,2.5,2810.0,11902.0,2.0,h7,2810.0,0.0,1993.0,0.0,98059.0,47.5303,-122.143,2990.0,10754.0,r0,s0,t3,747500.0
3459410230.0,16678.800000000047,c3,2.25,2490.0,8800.0,2.0,h6,2490.0,0.0,1975.0,0.0,98006.0,47.5666,-122.132,2690.0,10000.0,r0,s0,t3,590000.0
114100297.0,12355.200000000186,c3,1.75,1560.0,8456.0,1.0,h5,1560.0,0.0,1970.0,0.0,98028.0,47.7769,-122.25,2230.0,13109.0,r0,s0,t4,400000.0
1687000240.0,19184.40000000014,c3,2.5,2495.0,4400.0,2.0,h6,2495.0,0.0,2007.0,0.0,98001.0,47.2877,-122.283,2434.0,4400.0,r0,s0,t2,276000.0
1860600135.0,0.0,c5,2.5,3650.0,9050.0,2.0,h8,3370.0,280.0,1921.0,0.0,98119.0,47.6345,-122.367,2880.0,5400.0,r0,s4,t4,2384000.0
1624079051.0,5961.600000000093,c2,2.5,2410.0,102366.0,1.0,h5,1940.0,470.0,1912.0,1989.0,98024.0,47.5629,-121.918,2460.0,310582.0,r0,s0,t3,600000.0
2895800590.0,14774.40000000014,c5,2.5,2170.0,2752.0,2.0,h6,2170.0,0.0,2014.0,0.0,98106.0,47.5167,-122.347,1800.0,2752.0,r0,s0,t2,359800.0
1423049019.0,1814.40000000014,c2,1.0,580.0,7500.0,1.0,h3,580.0,0.0,1943.0,0.0,98178.0,47.4852,-122.251,1700.0,11250.0,r0,s0,t2,90000.0
7430500415.0,7257.600000000093,c2,1.0,1120.0,7500.0,1.0,h5,1120.0,0.0,1971.0,0.0,98008.0,47.619,-122.096,3040.0,16940.0,r0,s2,t3,540000.0
2436200436.0,5788.800000000047,c4,3.5,3150.0,5500.0,2.0,h7,3150.0,0.0,2014.0,0.0,98105.0,47.6644,-122.293,1550.0,4200.0,r0,s0,t2,1205000.0
2061100435.0,7171.200000000186,c3,1.0,1440.0,5580.0,1.5,h5,1440.0,0.0,1908.0,0.0,98115.0,47.6898,-122.326,2010.0,5580.0,r0,s0,t2,499950.0
4221250320.0,14515.200000000186,c4,2.5,2280.0,4534.0,2.0,h6,2280.0,0.0,2003.0,0.0,98075.0,47.5902,-122.018,2246.0,4534.0,r0,s0,t2,570000.0
7283900012.0,14860.800000000048,c3,1.5,1410.0,9000.0,1.0,h5,1410.0,0.0,1953.0,0.0,98133.0,47.7635,-122.35,1910.0,7214.0,r0,s0,t2,275000.0
8856970570.0,15382.800000000048,c4,2.5,1940.0,7107.0,2.0,h5,1940.0,0.0,2000.0,0.0,98038.0,47.3843,-122.032,1850.0,5705.0,r0,s0,t2,322500.0
5104510270.0,6652.800000000047,c4,2.5,1830.0,5612.0,2.0,h5,1830.0,0.0,2003.0,0.0,98038.0,47.3572,-122.015,1830.0,5998.0,r0,s0,t2,338900.0
1024069162.0,30157.200000000183,c3,2.0,3250.0,50529.0,2.0,h6,3250.0,0.0,1978.0,0.0,98075.0,47.5849,-122.016,2370.0,47480.0,r0,s0,t3,562000.0
7789200070.0,2764.8000000000466,c3,1.0,1250.0,15603.0,1.0,h5,1250.0,0.0,1959.0,0.0,98056.0,47.5093,-122.172,1720.0,10220.0,r0,s0,t3,235000.0
1773100310.0,30762.0,c4,2.5,1640.0,6000.0,2.0,h5,1640.0,0.0,2011.0,0.0,98106.0,47.559,-122.365,1640.0,4800.0,r0,s0,t2,464950.0
