age,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,y
53,13,5,410,3,-1,0,unemployed,married,unknown,no,no,no,unknown,may,unknown,no
54,0,30,766,3,84,3,technician,married,secondary,no,no,no,telephone,apr,success,yes
30,280,5,92,3,-1,0,self-employed,single,secondary,no,no,no,telephone,may,unknown,no
50,-84,6,101,1,-1,0,self-employed,married,unknown,no,yes,no,unknown,may,unknown,no
60,1690,28,64,11,-1,0,self-employed,married,secondary,no,no,no,cellular,aug,unknown,no
30,1384,14,60,2,-1,0,management,married,tertiary,no,yes,no,telephone,aug,unknown,no
32,0,21,660,2,-1,0,technician,single,tertiary,no,no,no,cellular,aug,unknown,no
49,3250,16,32,3,-1,0,services,divorced,secondary,no,no,no,unknown,jun,unknown,no
50,199,11,228,2,363,2,entrepreneur,married,primary,no,no,no,cellular,may,failure,no
38,2012,7,355,3,-1,0,unemployed,married,tertiary,no,no,no,cellular,apr,unknown,no
42,0,20,34,3,-1,0,management,married,tertiary,no,yes,no,unknown,jun,unknown,no
34,209,8,375,2,-1,0,technician,married,secondary,no,yes,yes,cellular,apr,unknown,no
36,0,15,687,7,-1,0,services,divorced,secondary,yes,no,yes,cellular,jul,unknown,yes
46,-3,29,79,2,265,2,blue-collar,married,secondary,no,yes,no,cellular,jan,failure,no
44,696,16,680,3,-1,0,technician,single,secondary,no,yes,no,unknown,may,unknown,no
42,659,11,91,1,-1,0,blue-collar,married,primary,no,yes,no,cellular,may,unknown,no
37,0,20,225,5,-1,0,management,single,tertiary,no,no,no,cellular,aug,unknown,no
44,3790,13,342,2,-1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,no
33,1117,2,417,1,-1,0,services,divorced,secondary,no,no,no,cellular,jun,unknown,yes
34,0,12,117,4,-1,0,self-employed,married,tertiary,no,no,no,cellular,aug,unknown,no
44,0,20,122,2,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,no
32,0,31,105,6,-1,0,services,married,secondary,no,no,no,cellular,jul,unknown,no
57,3498,15,210,2,456,2,blue-collar,married,primary,no,no,no,cellular,jul,success,no
57,-40,7,88,1,-1,0,technician,married,tertiary,no,no,yes,cellular,jul,unknown,no
31,17,28,266,3,-1,0,technician,married,secondary,no,yes,no,cellular,jul,unknown,no
40,2017,28,105,1,244,1,technician,single,secondary,no,yes,no,cellular,jan,other,no
53,289,4,502,1,-1,0,self-employed,single,unknown,no,no,no,cellular,feb,unknown,no
39,0,20,286,4,-1,0,services,single,secondary,no,yes,yes,cellular,apr,unknown,no
