GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan,class
126.9560976,240.2621359,113.4951456,644.3203884,21.35617366,n
117.0292683,194.4615385,82.76923077,441.2307692,46.74948976,n
125.6765677,183.5789474,79.73684211,334.9473684,23.42572396,n
132.7773393,296.5381166,189.8609865,409.8071749,36.12955255,n
127.7657658,187.0,82.35714286,310.1428571,15.44394076,n
137.1984127,215.625,99.125,464.625,24.02049906,n
137.5132179,193.2608696,84.68115942,376.7101449,16.83641346,n
138.1827731,243.1,107.3666667,799.8333333,24.73694942,n
124.9815498,244.1764706,117.2058824,802.8235294,24.21245712,n
131.534375,200.5,92.65,407.95,26.75158874,n
140.9761905,222.0,90.0,509.0,31.61091584,n
140.4880597,242.6190476,109.9761905,619.6071429,39.1477013,n
126.8875,204.6,92.0,572.0,28.24464551,n
109.3309859,332.4444444,221.0,374.0,44.98147767,n
116.8237347,232.4583333,109.5277778,648.0416667,18.59459777,n
130.5982143,217.0285714,91.31428571,560.6571429,24.12416859,n
118.1041667,227.3333333,106.6666667,673.0,27.92251183,n
95.4296875,215.5,95.875,516.75,29.04925774,n
134.1577947,222.1515152,98.45454545,714.6363636,21.50396636,n
133.503413,258.4594595,157.3513514,514.6216216,26.77043058,n
118.7171717,202.08,91.92,563.64,46.55140814,n
116.980057,195.0454545,85.78787879,376.7272727,39.67243343,n
125.7355584,207.1020408,90.14285714,605.7142857,24.33726308,n
122.1213018,241.5283019,110.0943396,735.0471698,27.79822917,n
97.075,251.4,122.8,635.1,11.65160933,n
156.0833333,228.0,103.0,725.0,24.82885866,n
129.2857143,204.744186,88.74418605,496.4883721,34.59716411,n
137.0951195,208.015873,90.97619048,423.968254,27.9906672,n
123.8826367,267.5897436,132.1538462,612.7948718,28.8012528,n
137.8435583,210.4878049,99.73170732,614.6585366,48.00760895,n
147.7625,239.5,153.0,300.75,19.40225502,n
94.5875,195.2,82.6,457.4,23.49127498,n
114.4601329,202.0526316,85.15789474,411.0789474,25.04280269,n
138.4699647,196.4444444,86.22222222,387.5555556,15.5046787,n
126.127907,203.7777778,89.51851852,567.7407407,20.9037247,n
84.0625,168.0,75.75,282.75,8.757139944,n
136.6750765,237.1463415,113.6341463,600.4878049,27.87159572,n
125.4758676,258.9622642,115.7358491,791.1509434,18.82156569,n
127.8071795,202.7119565,120.7228261,415.8043478,27.25897123,w
168.7604167,228.5,104.6666667,769.8333333,9.441339359,n
136.3710526,238.5,114.9166667,730.25,26.35069971,n
119.130988,210.6547619,93.23809524,623.3095238,26.05415823,n
122.8686869,220.1612903,96.22580645,510.7741935,22.63652073,n
110.4882813,230.0625,103.875,543.8125,26.56470579,n
139.7270115,244.3636364,111.5454545,866.3636364,32.32738649,n
118.1793478,240.0869565,110.6956522,648.2608696,22.08806913,n
122.1881533,200.3333333,90.0,631.0,22.21499883,n
113.1535433,217.875,99.125,452.0,13.06818058,n
120.8852596,205.8266667,94.77333333,513.1333333,35.09345998,n
118.3916084,253.6111111,117.6111111,841.1666667,14.87281471,n
122.0163723,244.369863,113.9109589,708.130137,17.28209102,n
135.3217391,213.7692308,96.86153846,555.8923077,29.87199516,n
126.1192469,231.5333333,110.9,735.0666667,15.51071314,n
115.4208333,209.4,88.86666667,551.9333333,22.94825096,n
131.7580866,194.2826087,84.56521739,315.6014493,14.16796391,n
154.9050633,263.5,125.1,701.1,14.46685868,n
140.2236842,224.3157895,105.6315789,559.6842105,21.31520467,n
131.0494474,199.5462963,88.37962963,526.537037,35.19894468,n
116.8496622,254.7297297,116.1351351,776.4324324,30.54683025,n
113.25,231.9,101.9,599.6,20.54361215,n
125.3499197,232.5641026,108.2435897,724.7179487,31.60216882,n
123.5963791,364.9830508,271.9152542,429.7457627,18.59168295,n
118.7100313,258.925,148.575,645.65,23.73030763,n
144.9166667,214.8333333,98.16666667,494.8333333,23.2874549,n
134.8206107,231.2424242,100.4242424,712.3636364,15.40157291,n
135.7886565,216.520202,99.33838384,561.0151515,31.95066534,n
117.1007299,223.0930233,100.4883721,626.0930233,23.99844506,n
131.0292648,243.0909091,112.5454545,867.0340909,21.98940567,n
123.9375,184.8823529,83.29411765,359.7352941,47.13810417,n
98.8984375,220.75,100.75,572.5,27.95979256,n
120.6394231,206.1538462,93.23076923,510.0,18.9711709,n
